Name,Slug,Description,Address,City,State,Zip,County,Phone,Website URL,Google Maps URL,Photo URL,Hours,Services,Care Types,Payment Options,Licensing,Accreditation,Languages,Service Area,Year Established,Rating,Review Count,Status,Date Added,Latitude,Longitude
A Promise to Care EAST,a-promise-to-care-east-warrensville-heights-oh,"A Promise to Care EAST, LLC is a home care services company based in Wickliffe, Ohio. We serve Cuyahoga, Lake, & Summit counties and are dedicated to providing optimal home care and healthcare training options. Our team of professionals will come to yo...","26210 Emery Rd Suite 102, Warrensville Heights, OH 44128",Warrensville Heights,Ohio,44128,,(216) 282-3099,http://www.apromisetocareeastllc.com/,"https://www.google.com/maps/place/A+Promise+to+Care+EAST/@41.4345597,-81.4936668,14z/data=!4m8!1m2!2m1!1sA+Promise+to+Care+EAST!3m4!1s0xc0ac44040418975:0x7b3e5bc19a05b25!8m2!3d41.4345597!4d-81.4936668",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aAc-Fog8cCsmL1PptIW3uA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=70.85665&pitch=0&thumbfov=100,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: Closed, Sunday: Closed",,Personal Care,Private Pay,,,English,,,5.0,54.0,Active,3/20/2026,41.4345597,-81.4936668
"A-Plus Home Health Agency, LLC",a-plus-home-health-agency-llc-bedford-heights-oh,"Based in Bedford Heights, A-Plus Home Health Agency, LLC delivers quality home care services designed to help older adults thrive in familiar surroundings. Available services include personal care assistance. The agency accepts Private Pay. Clients have given A-Plus Home Health Agency, LLC a 4.6-star rating across 10 reviews. Get in touch with A-Plus Home Health Agency, LLC to find the right care solution for your family's needs.","5311 Northfield Rd Suite 420, Bedford Heights, OH 44146",Bedford Heights,Ohio,44146,,(440) 252-9898,http://www.aplushhcare.com/,"https://www.google.com/maps/place/A-Plus+Home+Health+Agency%2C+LLC/@41.415174199999996,-81.52686779999999,14z/data=!4m8!1m2!2m1!1sA-Plus+Home+Health+Agency%2C+LLC!3m4!1s0x8830e28f6184533d:0xd95c2a219d7dde12!8m2!3d41.415174199999996!4d-81.52686779999999",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3X6cJeB6YRRoY8IvGbzBeA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=81.53659&pitch=0&thumbfov=100,"Monday: 11AM–6PM, Tuesday: 11AM–6PM, Wednesday: 11AM–6PM, Thursday: 11AM–6PM, Friday: 11AM–6PM, Saturday: Closed, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,,English,,,4.6,10.0,Active,3/20/2026,41.4151742,-81.5268678
Nursemedic Home Care Solutions,nursemedic-home-care-solutions-beachwood-oh,Nursemedic Home Care Solutions offers top-notch respite home care services to cater to your loved one's needs. Contact us today!,"3659 S Green Rd Suite 322 Unit 24, Beachwood, OH 44122",Beachwood,Ohio,44122,,(216) 230-9219,https://nursemedichomecare.com/,"https://www.google.com/maps/place/Nursemedic+Home+Care+Solutions/@41.460499299999995,-81.515582,14z/data=!4m8!1m2!2m1!1sNursemedic+Home+Care+Solutions!3m4!1s0x8830fd72b51b4379:0x792703b433fb69b0!8m2!3d41.460499299999995!4d-81.515582",/static/images/nursemedic-home-care-solutions-beachwood.jpg,"Monday: 9AM–4PM, Tuesday: 9AM–4PM, Wednesday: 9AM–4PM, Thursday: 9AM–4PM, Friday: 9AM–4PM, Saturday: Closed, Sunday: Closed",Respite Care,Respite Care,Private Pay,,,English,,,,,Active,3/20/2026,41.4604993,-81.5155820
A Work of Heart Home Care Services LLC,a-work-of-heart-home-care-services-llc-warrensville-heights-oh,"A Work of Heart Home Care Services LLC brings experienced, compassionate caregivers to seniors throughout Warrensville Heights and the surrounding Ohio communities. Available services include personal care assistance. The agency accepts Private Pay. Get in touch with A Work of Heart Home Care Services LLC to find the right care solution for your family's needs.","23432 S Frontenac Dr, Warrensville Heights, OH 44128",Warrensville Heights,Ohio,44128,,(216) 509-8763,https://aworkofheart.care/,"https://www.google.com/maps/place/A+Work+of+Heart+Home+Care+Services+LLC/@41.4367935,-81.5138436,14z/data=!4m8!1m2!2m1!1sA+Work+of+Heart+Home+Care+Services+LLC!3m4!1s0x88311db94d8b804f:0x33e17ae9090b197!8m2!3d41.4367935!4d-81.5138436",/static/images/a-work-of-heart-home-care-services-llc-warrensville-heights.jpg,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: 9AM–5PM, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,,English,,,,,Active,3/20/2026,41.4367935,-81.5138436
M.R. Home Care of Cleveland,m-r-home-care-of-cleveland-mayfield-heights-oh,"MR Home Care of Cleveland Ohio provides personalized one-on-one care for your loved ones in Lake, Geauga, Cuyahoga, and Summit counties. They offer assistance in managing medications, monitoring health changes, and ensuring a quicker recovery time with...","6005 Landerhaven Dr d2, Mayfield Heights, OH 44124",Mayfield Heights,Ohio,44124,,(440) 248-3890,http://www.mrhomecare.com/,"https://www.google.com/maps/place/M.R.+Home+Care+of+Cleveland/@41.5039248,-81.46067719999999,14z/data=!4m8!1m2!2m1!1sM.R.+Home+Care+of+Cleveland!3m4!1s0x8830fc30a424ab09:0x80c7a3ce46bc2919!8m2!3d41.5039248!4d-81.46067719999999",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q5GeuFUlLqR3hTECcip5aA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=277.03723&pitch=0&thumbfov=100,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: 9AM–5PM, Sunday: Closed",Post-Surgery Care,,Private Pay,,,English,,,4.3,10.0,Active,3/20/2026,41.5039248,-81.4606772
Paris Home Health Care,paris-home-health-care-warrensville-heights-oh,"Serving the Warrensville Heights area, Paris Home Health Care offers compassionate in-home care tailored to each client's needs. Their care team offers services including personal care assistance. Families can pay through Private Pay. The agency holds a 5-star rating based on 5 reviews. Reach out to Paris Home Health Care to discuss care options and schedule a free consultation.","4630 Richmond Rd Suite 270 C, Warrensville Heights, OH 44128",Warrensville Heights,Ohio,44128,,(888) 416-9889,http://www.parishomehealth.com/,"https://www.google.com/maps/place/Paris+Home+Health+Care/@41.4340372,-81.4990311,14z/data=!4m8!1m2!2m1!1sParis+Home+Health+Care!3m4!1s0x88310329bf51c52b:0xda3945c777924d4c!8m2!3d41.4340372!4d-81.4990311",/static/images/paris-home-health-care-warrensville-heights.jpg,"Monday: 11AM–3PM, Tuesday: 11AM–3PM, Wednesday: 11AM–3PM, Thursday: 11AM–3PM, Friday: 11AM–3PM, Saturday: Closed, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,,English,,,5.0,5.0,Active,3/20/2026,41.4340372,-81.4990311
Embassy Healthcare,embassy-healthcare-beachwood-oh,"Embassy Healthcare operates in Beachwood, Ohio and accepts private pay as a payment option. The agency provides services to clients who communicate in English.","25201 Chagrin Blvd Suite 190, Beachwood, OH 44122",Beachwood,Ohio,44122,,(216) 378-2050,https://embassyhealthcare.net/,"https://www.google.com/maps/place/Embassy+Healthcare/@41.465081,-81.50076299999999,14z/data=!4m8!1m2!2m1!1sEmbassy+Healthcare!3m4!1s0x883102bdbfc13da9:0x109e94233fe91829!8m2!3d41.465081!4d-81.50076299999999",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ac8lx0e45qI5LEM89Olw_A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=350.31073&pitch=0&thumbfov=100,Daily: 9AM–5PM,,,Private Pay,,,English,,,2.5,24.0,Active,3/20/2026,41.4650810,-81.5007630
Cleveland Coast Home Care Services,cleveland-coast-home-care-services-cleveland-oh,"Cleveland Coast Home Care Services is a home care agency in Cleveland, OH, offering Personal Assistance, Travel Assistance, Homemaking Care, and Companionship Car for homebound patients throughout Ohio. With consistent communication, attention to chang...","12200 Fairhill Rd C347, Cleveland, OH 44120",Cleveland,Ohio,44120,Buckeye - Shaker,(216) 815-5563,http://www.clevelandcoasthcs.com/,"https://www.google.com/maps/place/Cleveland+Coast+Home+Care+Services/@41.4925287,-81.5974251,14z/data=!4m8!1m2!2m1!1sCleveland+Coast+Home+Care+Services!3m4!1s0x8830fde93ccf2729:0xbbd1de704bd9756f!8m2!3d41.4925287!4d-81.5974251",/static/images/cleveland-coast-home-care-services-cleveland.jpg,"Monday: 9AM–4PM, Tuesday: 9AM–4PM, Wednesday: 9AM–4PM, Thursday: 9AM–4PM, Friday: 9AM–4PM, Saturday: Closed, Sunday: Closed",Homemaking,"Companion Care,Homemaking",Private Pay,,,English,,,4.7,3.0,Active,3/20/2026,41.4925287,-81.5974251
Saber Healthcare Group,saber-healthcare-group-beachwood-oh,"Saber Healthcare Group operates in the Beachwood, Ohio area and specializes in live-in care services. The agency accepts private pay arrangements for clients seeking in-home support. Services are provided in English to residents throughout the region.","23700 Commerce Park Rd, Beachwood, OH 44122",Beachwood,Ohio,44122,,(216) 292-5706,http://www.saberhealth.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle-my-business%26utm_term%3DSHGOH36,"https://www.google.com/maps/place/Saber+Healthcare+Group/@41.461286,-81.5089235,14z/data=!4m8!1m2!2m1!1sSaber+Healthcare+Group!3m4!1s0x88311d0c56f728bd:0x77d9ced6f904a418!8m2!3d41.461286!4d-81.5089235",/static/images/saber-healthcare-group-beachwood.jpg,Daily: Open 24 hours,Live-In Care,,Private Pay,,,English,,,2.4,83.0,Active,3/20/2026,41.4612860,-81.5089235
Mississippi HomeCare of Grenada,mississippi-homecare-of-grenada-grenada-ms,"Mississippi HomeCare of Grenada provides post-surgery care services to patients in the Grenada area. The agency operates on a private pay basis and conducts all services in English. Located in Grenada, Mississippi, the organization delivers support during the recovery period following surgical procedures.","990 J K Avent Dr Suite B, Grenada, MS 38901",Grenada,Mississippi,38901,,(662) 227-5553,https://lhcgroup.com/locations/mississippi-homecare-of-grenada/%3Futm_source%3DGMB%26utm_campaign%3DGoogle_Local_Listing%26utm_medium%3Dreferral%26utm_content%3DMississippi_HomeCare_of_Grenada_Grenada_MS_38901,"https://www.google.com/maps/place/Mississippi+HomeCare+of+Grenada/@33.763598699999996,-89.81808679999999,14z/data=!4m8!1m2!2m1!1sMississippi+HomeCare+of+Grenada!3m4!1s0x8881d2af11cd49f5:0xb346d4893872b00c!8m2!3d33.763598699999996!4d-89.81808679999999",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Am1viAJBehgjwMMvbCIKUA&cb_client=search.gws-prod.gps&w=800&h=500&yaw=348.90906&pitch=0&thumbfov=100,"Monday: 8AM–4:30PM, Tuesday: 8AM–4:30PM, Wednesday: 8AM–4:30PM, Thursday: 8AM–4:30PM, Friday: 8AM–4:30PM, Saturday: Closed, Sunday: Closed",Post-Surgery Care,,Private Pay,,,English,,,5.0,4.0,Active,3/20/2026,33.7635987,-89.8180868
Home Instead,home-instead-milton-ma,"Home Instead in Milton, Massachusetts provides hospice support services to patients and families navigating end-of-life care. The agency accepts private pay as a payment option and conducts services in English. Hospice support through Home Instead focuses on comfort, symptom management, and care coordination during this critical phase of life.","29 Central Ave, Milton, MA 02186",Milton,Massachusetts,2186,,(781) 428-9198,https://www.homeinstead.com/home-care/usa/ma/norwood-milton/704/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_organic_businesslisting_y,"https://www.google.com/maps/place/Home+Instead/@42.269354799999995,-71.0734184,14z/data=!4m8!1m2!2m1!1sHome+Instead!3m4!1s0x89e37c72b3f4003f:0x35440c0087910259!8m2!3d42.269354799999995!4d-71.0734184",/static/images/home-instead-milton.jpg,Daily: Open 24 hours,Hospice Support,Hospice Support,Private Pay,,,English,,,5.0,12.0,Active,3/20/2026,42.2693548,-71.0734184
Best of Care Inc.,best-of-care-inc-milton-ma,"Based in Milton, Massachusetts, Best of Care Inc. offers personal care services to individuals in the local area. The agency accepts private pay as a payment option and conducts all services in English. Best of Care Inc. specializes in personal care assistance for clients seeking in-home support.","1399 Blue Hill Ave, Milton, MA 02186",Milton,Massachusetts,2186,,(800) 310-5800,https://www.bestofcareinc.com/,"https://www.google.com/maps/place/Best+of+Care+Inc./@42.224618,-71.1173836,14z/data=!4m8!1m2!2m1!1sBest+of+Care+Inc.!3m4!1s0x89e37fd7bdc89981:0xd42054cc0d60ff20!8m2!3d42.224618!4d-71.1173836",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1jspf-kXCr8SnNbjBQzg8Q&cb_client=search.gws-prod.gps&w=800&h=500&yaw=24.311129&pitch=0&thumbfov=100,Daily: Open 24 hours,Personal Care,Personal Care,Private Pay,,,English,,,,,Active,3/20/2026,42.2246180,-71.1173836
"At Home Health Care Services, INC.",at-home-health-care-services-inc-quincy-ma,"At Home Health Care Services, INC. operates in Quincy, Massachusetts and accepts private pay as its payment option. The agency provides homemaking services to support individuals in their residences. Staff members are available to communicate in both English and Spanish.","859 Willard St, Quincy, MA 02169",Quincy,Massachusetts,2169,,(617) 302-6294,https://brand.site/athomehealthcareservices,"https://www.google.com/maps/place/At+Home+Health+Care+Services%2C+INC./@42.2283203,-71.0324121,14z/data=!4m8!1m2!2m1!1sAt+Home+Health+Care+Services%2C+INC.!3m4!1s0x89e37dcc1f1bf4cd:0x39d01a667c352766!8m2!3d42.2283203!4d-71.0324121",/static/images/at-home-health-care-services-inc-quincy.jpg,"Monday: 8:30AM–5:30PM, Tuesday: 8:30AM–5:30PM, Wednesday: 8:30AM–5:30PM, Thursday: 8:30AM–5:30PM, Friday: 8:30AM–5:30PM, Saturday: 9AM–5:30PM, Sunday: 10AM–4PM",Homemaking,,Private Pay,,,"English,Spanish",,,,,Active,3/20/2026,42.2283203,-71.0324121
The NE Care Agency,the-ne-care-agency-omaha-ne,Discover exceptional quality home care from our dedicated team at The Nebraska Care Agency. Compassionate support tailored to your needs.,"4200 N 30th St Ste 203, Omaha, NE 68111",Omaha,Nebraska,68111,Northwest Community Club,(402) 215-7326,https://thenebraskacareagency.com/,"https://www.google.com/maps/place/The+NE+Care+Agency/@41.296999199999995,-95.9569076,14z/data=!4m8!1m2!2m1!1sThe+NE+Care+Agency!3m4!1s0x879391f34e5c21f7:0x48773e86135d49ab!8m2!3d41.296999199999995!4d-95.9569076",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a22g7mL2rJP4C3XGeczg9g&cb_client=search.gws-prod.gps&w=800&h=500&yaw=279.39127&pitch=0&thumbfov=100,Daily: Open 24 hours,Live-In Care,Personal Care,Private Pay,,,English,,,5.0,4.0,Active,3/20/2026,41.2969992,-95.9569076
"Home Instead, Home Care Services of Omaha",home-instead-home-care-services-of-omaha-omaha-ne,"In-home senior care services provided by Home Instead of Omaha, NE, helps seniors age safely at home.","13323 California St, Omaha, NE 68154",Omaha,Nebraska,68154,West Omaha,(402) 249-2559,https://www.homeinstead.com/home-care/usa/ne/omaha/100/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle_organic_businesslisting_y,"https://www.google.com/maps/place/Home+Instead%2C+Home+Care+Services+of+Omaha/@41.2654589,-96.12025709999999,14z/data=!4m8!1m2!2m1!1sHome+Instead%2C+Home+Care+Services+of+Omaha!3m4!1s0x8793f2b976e8c827:0xf72c5024c4aa83d7!8m2!3d41.2654589!4d-96.12025709999999",/static/images/home-instead-home-care-services-of-omaha-omaha.jpg,Daily: Open 24 hours,Hospice Support,Hospice Support,Private Pay,,,English,,,4.7,40.0,Active,3/20/2026,41.2654589,-96.1202571
HomeCare Advocacy Network Omaha,homecare-advocacy-network-omaha-omaha-ne,"Discover a wealth of home care and aging in place resources to support your aging loved ones. From dementia tips to home care advice, find the assistance you need. Explore now!","440 Regency Pkwy Dr Suite 210, Omaha, NE 68114",Omaha,Nebraska,68114,Central Omaha,(402) 359-1996,https://hcan.com/omaha/,"https://www.google.com/maps/place/HomeCare+Advocacy+Network+Omaha/@41.2560499,-96.0754582,14z/data=!4m8!1m2!2m1!1sHomeCare+Advocacy+Network+Omaha!3m4!1s0x8793ef879a9c28af:0xab86f91ba7eaa520!8m2!3d41.2560499!4d-96.0754582",/static/images/homecare-advocacy-network-omaha-omaha.jpg,Daily: Open 24 hours,Alzheimer's & Dementia Care,,Private Pay,,,English,,,4.9,15.0,Active,3/20/2026,41.2560499,-96.0754582
Five Star Home Care of Nebraska,five-star-home-care-of-nebraska-omaha-ne,"Serving the Omaha area, Five Star Home Care of Nebraska offers compassionate in-home care tailored to each client's needs. Clients can receive personal care assistance. Families can pay through Private Pay. Clients have given Five Star Home Care of Nebraska a 4.6-star rating across 19 reviews. Get in touch with Five Star Home Care of Nebraska to find the right care solution for your family's needs.","5072 S 135th St, Omaha, NE 68137",Omaha,Nebraska,68137,Millard,(402) 934-1266,http://www.homecareofnebraska.com/,"https://www.google.com/maps/place/Five+Star+Home+Care+of+Nebraska/@41.206452399999996,-96.1214437,14z/data=!4m8!1m2!2m1!1sFive+Star+Home+Care+of+Nebraska!3m4!1s0xab32fa8fb63de425:0x66e3313ed3394806!8m2!3d41.206452399999996!4d-96.1214437",/static/images/five-star-home-care-of-nebraska-omaha.jpg,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: Closed, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,,English,,,4.6,19.0,Active,3/20/2026,41.2064524,-96.1214437
A-LiFE HOME HEALTH CARE,a-life-home-health-care-omaha-ne,"Families in Omaha, Nebraska turn to A-LiFE HOME HEALTH CARE for reliable, personalized in-home care that supports independence and dignity. Their care team offers services including dedicated care for veterans with VA benefit coordination, Alzheimer's and dementia support, post-surgery recovery help, and veterans care services. Payment options include VA Benefits. With a 5-star Google rating from 15 reviews, A-LiFE HOME HEALTH CARE is well-regarded by families in the area. A-LiFE HOME HEALTH CARE is available Daily: Open 24 hours. Reach out to A-LiFE HOME HEALTH CARE to discuss care options and schedule a free consultation.","278 N 115th St, Omaha, NE 68154",Omaha,Nebraska,68154,West Omaha,(402) 315-1474,http://alifehomehealthcare.com/,"https://www.google.com/maps/place/A-LiFE+HOME+HEALTH+CARE/@41.2599272,-96.09275559999999,14z/data=!4m8!1m2!2m1!1sA-LiFE+HOME+HEALTH+CARE!3m4!1s0x8793ed59f3d71779:0xca7fff468c90680!8m2!3d41.2599272!4d-96.09275559999999",/static/images/a-life-home-health-care-omaha.jpg,Daily: Open 24 hours,"Alzheimer's & Dementia Care,Post-Surgery Care,Veterans Care",Veterans Care,VA Benefits,,,English,,,5.0,15.0,Active,3/20/2026,41.2599272,-96.0927556
Way to Stay Homecare,way-to-stay-homecare-omaha-ne,"Serving the Omaha area, Way to Stay Homecare offers compassionate in-home care tailored to each client's needs. Their care team offers services including friendly companionship and social engagement, light housekeeping, meal preparation, and household support, hands-on assistance with bathing, dressing, and daily hygiene, homemaking and meal prep, and personal care assistance. Families can pay through Private Pay. Clients have given Way to Stay Homecare a 4.8-star rating across 26 reviews. Hours of operation: Daily: Open 24 hours. Get in touch with Way to Stay Homecare to find the right care solution for your family's needs.","11204 Davenport St # 300, Omaha, NE 68154",Omaha,Nebraska,68154,West Omaha,(402) 557-0639,http://waytostayhome.com/,"https://www.google.com/maps/place/Way+to+Stay+Homecare/@41.2614318,-96.0880293,14z/data=!4m8!1m2!2m1!1sWay+to+Stay+Homecare!3m4!1s0x8793f41dadf7cd1b:0x3fa0d897eb48d46b!8m2!3d41.2614318!4d-96.0880293",/static/images/way-to-stay-homecare-omaha.jpg,Daily: Open 24 hours,"Homemaking,Personal Care","Companion Care,Homemaking,Personal Care",Private Pay,,,English,,,4.8,26.0,Active,3/20/2026,41.2614318,-96.0880293
CCA Home Care,cca-home-care-omaha-ne,Our mission is to provide the elderly and their adult children with assistance in achieving a continued independent living lifestyle. We seek to screen and refer caregivers that provide support services.,"11640 Arbor St #203, Omaha, NE 68144",Omaha,Nebraska,68144,Prairie Lane,(402) 398-1848,https://www.ccahomecare.com/,"https://www.google.com/maps/place/CCA+Home+Care/@41.236283,-96.0957236,14z/data=!4m8!1m2!2m1!1sCCA+Home+Care!3m4!1s0x87938d03877452e5:0x4265144b7196084c!8m2!3d41.236283!4d-96.0957236",/static/images/cca-home-care-omaha.jpg,Daily: Open 24 hours,Live-In Care,,Private Pay,,,English,,,4.9,138.0,Active,3/20/2026,41.2362830,-96.0957236
A Place At Home - Omaha,a-place-at-home-omaha-omaha-ne,The compassionate in-home care solutions you need. Senior care doesn’t have to mean losing your home or independence. Choose a better way to make everyday living easier and safer in the comfort of your own home. Find a location Become a caregiver A Pla...,"11030 Q St, Omaha, NE 68137",Omaha,Nebraska,68137,Millard,(402) 932-4646,https://aplaceathome.com/omaha/,"https://www.google.com/maps/place/A+Place+At+Home+-+Omaha/@41.2056967,-96.0849217,14z/data=!4m8!1m2!2m1!1sA+Place+At+Home+-+Omaha!3m4!1s0x8793f38155555555:0x571e413f7e12cfff!8m2!3d41.2056967!4d-96.0849217",/static/images/a-place-at-home-omaha-omaha.jpg,"Monday: 8AM–5PM, Tuesday: 8AM–5PM, Wednesday: 8AM–5PM, Thursday: 8AM–5PM, Friday: 8AM–5PM, Saturday: Closed, Sunday: Closed",,Personal Care,Private Pay,,,English,,,4.6,41.0,Active,3/20/2026,41.2056967,-96.0849217
Home Nursing with Heart,home-nursing-with-heart-omaha-ne,Caring and compassionate nursing and home health staff to help you and your loved ones in your time of need. Call us today for more information.,"13306 A St Suite C, Omaha, NE 68144",Omaha,Nebraska,68144,West Omaha,(402) 614-4622,https://homenursingwithheart.com/,"https://www.google.com/maps/place/Home+Nursing+with+Heart/@41.224938,-96.1219361,14z/data=!4m8!1m2!2m1!1sHome+Nursing+with+Heart!3m4!1s0x87938bee0126511b:0xcae13eb1d6a3eb81!8m2!3d41.224938!4d-96.1219361",/static/images/home-nursing-with-heart-omaha.jpg,"Monday: 8AM–5PM, Tuesday: 8AM–5PM, Wednesday: 8AM–5PM, Thursday: 8AM–5PM, Friday: 8AM–5PM, Saturday: Closed, Sunday: Closed",,,Private Pay,,,English,,,5.0,44.0,Active,3/20/2026,41.2249380,-96.1219361
Express Home Healthcare,express-home-healthcare-omaha-ne,"Serving the Omaha area, Express Home Healthcare offers compassionate in-home care tailored to each client's needs. Available services include personal care assistance. Families can pay through Private Pay. The agency holds a 5-star rating based on 2 reviews. Call Express Home Healthcare today to explore how their caregivers can help your family.","2111 S 67th St #300, Omaha, NE 68106",Omaha,Nebraska,68106,Aksarben/Elmwood Park,(531) 541-2354,https://expresshomecareomaha.com/,"https://www.google.com/maps/place/Express+Home+Healthcare/@41.2395942,-96.014219,14z/data=!4m8!1m2!2m1!1sExpress+Home+Healthcare!3m4!1s0x87938d1199b81ef1:0x15def8c2375d27e5!8m2!3d41.2395942!4d-96.014219",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ilg78nhWhucKKx6ZUiCjNQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=94.945854&pitch=0&thumbfov=100,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: Closed, Sunday: Closed","Personal Care,Companion Services",,Private Pay,,,English,,,5.0,2.0,Active,3/20/2026,41.2395942,-96.0142190
Visiting Angels Senior Home Care Omaha,visiting-angels-senior-home-care-omaha-omaha-ne,"Families in Omaha, Nebraska turn to Visiting Angels Senior Home Care Omaha for reliable, personalized in-home care that supports independence and dignity. Available services include friendly companionship and social engagement, around-the-clock live-in caregiver support, hands-on assistance with bathing, dressing, and daily hygiene, temporary relief for family caregivers, live-in care, personal care assistance, and respite care for family caregivers. Families can pay through Private Pay. The agency holds a 5-star rating based on 49 reviews. Hours of operation: Daily: Open 24 hours. Contact Visiting Angels Senior Home Care Omaha to learn more about creating a personalized care plan for your loved one.","226 N 114th St, Omaha, NE 68154",Omaha,Nebraska,68154,West Omaha,(402) 917-8225,https://www.visitingangels.com/omaha/home%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dlocal,"https://www.google.com/maps/place/Visiting+Angels+Senior+Home+Care+Omaha/@41.2594621,-96.0916117,14z/data=!4m8!1m2!2m1!1sVisiting+Angels+Senior+Home+Care+Omaha!3m4!1s0x8793f33cbddaeb41:0x786e95919d7271eb!8m2!3d41.2594621!4d-96.0916117",/static/images/visiting-angels-senior-home-care-omaha-omaha.jpg,Daily: Open 24 hours,"Live-In Care,Personal Care,Respite Care","Companion Care,Live-In Care,Personal Care,Respite Care",Private Pay,,,English,,,5.0,49.0,Active,3/20/2026,41.2594621,-96.0916117
True North Home Care,true-north-home-care-omaha-ne,"True North Home Care offers Personal Caregivers, Companion Care, and other Home Care Services that can help make staying home a reality. Our guiding vision is to nurture our clients with devoted care and serving hearts as they navigate the challenges o...","11314 Elm St, Omaha, NE 68144",Omaha,Nebraska,68144,Prairie Lane,(402) 981-8593,http://www.truenorthhomecare.com/,"https://www.google.com/maps/place/True+North+Home+Care/@41.232736599999996,-96.0902875,14z/data=!4m8!1m2!2m1!1sTrue+North+Home+Care!3m4!1s0x8793f360563a3a9d:0xd300139fdb950be1!8m2!3d41.232736599999996!4d-96.0902875",/static/images/true-north-home-care-omaha.jpg,Daily: Open 24 hours,Personal Care,"Companion Care,Personal Care",Private Pay,,,Spanish,,,4.6,56.0,Active,3/20/2026,41.2327366,-96.0902875
Care For All Home Health Care,care-for-all-home-health-care-omaha-ne,"Care For All Home Health Care is a company that provides 24-hour in-home care services. We understand that you deserve the best level of health and comfort, so we offer personalized care that is tailored to your unique needs. Our highly trained staff m...","2111 S 67th St Suite 319, Omaha, NE 68106",Omaha,Nebraska,68106,Aksarben/Elmwood Park,(402) 356-6706,http://www.careforallhomecare.com/,"https://www.google.com/maps/place/Care+For+All+Home+Health+Care/@41.239362899999996,-96.0141299,14z/data=!4m8!1m2!2m1!1sCare+For+All+Home+Health+Care!3m4!1s0x87938d2419ba38ad:0x64ba1f617ad07752!8m2!3d41.239362899999996!4d-96.0141299",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NqnvSL2JjLrBISjF9GgOwQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=283.38312&pitch=0&thumbfov=100,"Monday: 8AM–5PM, Tuesday: 8AM–5PM, Wednesday: 8AM–5PM, Thursday: 8AM–5PM, Friday: 8AM–5PM, Saturday: Closed, Sunday: Closed",Live-In Care,Live-In Care,Private Pay,,,English,,,5.0,1.0,Active,3/20/2026,41.2393629,-96.0141299
